Timestamp,Time,Latitude,Longitude,Altitude,Horizontal_Accuracy,Vertical_Accuracy
1764073603176252762,2025-11-25 17:56:43.172,23.535418667,87.300908500,85.40,0.008,0.050
1764073604152860688,2025-11-25 17:56:44.151,23.535418833,87.300909167,85.30,0.008,0.050
1764073605153124372,2025-11-25 17:56:45.151,23.535419333,87.300909500,85.30,0.008,0.050
1764073606173738909,2025-11-25 17:56:46.172,23.535419500,87.300910000,85.30,0.009,0.050
1764073607154324556,2025-11-25 17:56:47.152,23.535419333,87.300910667,85.40,0.009,0.050
1764073608174524796,2025-11-25 17:56:48.172,23.535419167,87.300910833,85.50,0.009,0.050
1764073609173656018,2025-11-25 17:56:49.171,23.535419667,87.300911000,85.50,0.009,0.050
1764073610174614332,2025-11-25 17:56:50.172,23.535420500,87.300911000,85.60,0.009,0.050
1764073611153378202,2025-11-25 17:56:51.151,23.535421000,87.300911000,85.60,0.009,0.050
1764073612152793942,2025-11-25 17:56:52.151,23.535421167,87.300911000,85.70,0.008,0.050
1764073613152255979,2025-11-25 17:56:53.150,23.535421333,87.300910833,85.70,0.009,0.050
1764073614152978552,2025-11-25 17:56:54.151,23.535421667,87.300911000,85.70,0.009,0.050
1764073615152965181,2025-11-25 17:56:55.151,23.535421667,87.300911000,85.70,0.009,0.050
1764073616178693458,2025-11-25 17:56:56.174,23.535422000,87.300910333,85.80,0.009,0.050
1764073617152821606,2025-11-25 17:56:57.151,23.535422167,87.300910000,85.90,0.009,0.050
1764073618153297050,2025-11-25 17:56:58.151,23.535421667,87.300909333,86.10,0.009,0.050
1764073619153872660,2025-11-25 17:56:59.152,23.535421667,87.300909000,86.10,0.009,0.050
1764073620154055549,2025-11-25 17:57:00.152,23.535421333,87.300908500,86.00,0.008,0.050
1764073621153345807,2025-11-25 17:57:01.152,23.535420667,87.300908333,86.00,0.008,0.050
1764073622153042251,2025-11-25 17:57:02.151,23.535420500,87.300907833,86.00,0.009,0.050
1764073623153011176,2025-11-25 17:57:03.151,23.535420833,87.300907167,86.00,0.008,0.050
1764073624174571250,2025-11-25 17:57:04.172,23.535421333,87.300906333,86.10,0.008,0.050
1764073625173825231,2025-11-25 17:57:05.172,23.535421333,87.300906333,86.10,0.008,0.050
1764073626174105526,2025-11-25 17:57:06.172,23.535421500,87.300906333,86.00,0.008,0.050
1764073627152363044,2025-11-25 17:57:07.151,23.535421500,87.300906167,86.00,0.008,0.050
1764073628175660433,2025-11-25 17:57:08.173,23.535421333,87.300906000,85.90,0.008,0.050
1764073629153234951,2025-11-25 17:57:09.151,23.535421333,87.300905667,85.90,0.008,0.050
1764073630174138839,2025-11-25 17:57:10.172,23.535421333,87.300905333,85.80,0.008,0.050
1764073631153073227,2025-11-25 17:57:11.151,23.535421333,87.300904667,85.80,0.008,0.050
1764073632174113412,2025-11-25 17:57:12.172,23.535421333,87.300904333,85.80,0.008,0.050
1764073633153631504,2025-11-25 17:57:13.152,23.535421667,87.300901167,85.80,0.008,0.050
1764073634174392540,2025-11-25 17:57:14.172,23.535423000,87.300893333,85.70,0.008,0.050
1764073635153285854,2025-11-25 17:57:15.151,23.535424500,87.300884167,85.70,0.008,0.050
1764073636173473187,2025-11-25 17:57:16.171,23.535425333,87.300875000,85.70,0.008,0.050
1764073637153444501,2025-11-25 17:57:17.151,23.535425333,87.300865833,85.70,0.009,0.050
1764073638172751686,2025-11-25 17:57:18.171,23.535424667,87.300856500,85.70,0.009,0.050
1764073639152811926,2025-11-25 17:57:19.151,23.535423500,87.300846833,85.70,0.009,0.050
1764073640153047148,2025-11-25 17:57:20.151,23.535422333,87.300837500,85.60,0.009,0.050
1764073641152593073,2025-11-25 17:57:21.151,23.535420833,87.300828000,85.50,0.008,0.050
1764073642172997628,2025-11-25 17:57:22.171,23.535419333,87.300818500,85.40,0.008,0.050
1764073643154517646,2025-11-25 17:57:23.152,23.535418000,87.300808833,85.40,0.009,0.050
1764073644174907275,2025-11-25 17:57:24.172,23.535417000,87.300799500,85.30,0.009,0.050
1764073645174580441,2025-11-25 17:57:25.172,23.535416333,87.300790000,85.30,0.009,0.050
1764073646175639866,2025-11-25 17:57:26.173,23.535416000,87.300780167,85.20,0.009,0.050
1764073647152953218,2025-11-25 17:57:27.151,23.535415500,87.300770167,85.20,0.009,0.050
1764073648153529291,2025-11-25 17:57:28.151,23.535415167,87.300760333,85.10,0.009,0.050
1764073649152842865,2025-11-25 17:57:29.151,23.535414667,87.300750333,85.10,0.009,0.050
1764073650154171494,2025-11-25 17:57:30.152,23.535414167,87.300740333,85.10,0.009,0.050
1764073651152810382,2025-11-25 17:57:31.151,23.535413333,87.300730167,85.00,0.009,0.050
1764073652175830511,2025-11-25 17:57:32.172,23.535412500,87.300720333,84.90,0.009,0.050
1764073653152873955,2025-11-25 17:57:33.151,23.535411667,87.300710500,84.90,0.009,0.050
1764073654174281917,2025-11-25 17:57:34.172,23.535411167,87.300700833,84.90,0.009,0.050
1764073655152852324,2025-11-25 17:57:35.151,23.535410667,87.300691167,84.80,0.009,0.050
1764073656152849009,2025-11-25 17:57:36.151,23.535410167,87.300681500,84.80,0.009,0.050
1764073657153002804,2025-11-25 17:57:37.151,23.535409500,87.300671833,84.80,0.009,0.050
1764073658154809137,2025-11-25 17:57:38.153,23.535408833,87.300661833,84.70,0.009,0.050
1764073659152921155,2025-11-25 17:57:39.151,23.535408000,87.300651833,84.70,0.009,0.050
1764073660173802173,2025-11-25 17:57:40.171,23.535406833,87.300641667,84.60,0.009,0.050
1764073661154000876,2025-11-25 17:57:41.152,23.535405500,87.300631333,84.60,0.009,0.050
1764073662175265264,2025-11-25 17:57:42.173,23.535403833,87.300621167,84.50,0.009,0.050
1764073663153394949,2025-11-25 17:57:43.151,23.535402167,87.300610833,84.50,0.009,0.050
1764073664176311615,2025-11-25 17:57:44.173,23.535400667,87.300600667,84.50,0.009,0.050
1764073665154698948,2025-11-25 17:57:45.152,23.535399333,87.300590500,84.50,0.009,0.050
1764073666174096484,2025-11-25 17:57:46.171,23.535398000,87.300580500,84.40,0.009,0.050
1764073667152839484,2025-11-25 17:57:47.151,23.535397000,87.300570500,84.40,0.009,0.050
1764073668174895853,2025-11-25 17:57:48.172,23.535396167,87.300560333,84.30,0.009,0.050
1764073669153410130,2025-11-25 17:57:49.152,23.535395500,87.300550333,84.30,0.009,0.050
1764073670174824537,2025-11-25 17:57:50.172,23.535394833,87.300540167,84.30,0.009,0.050
1764073671153408463,2025-11-25 17:57:51.151,23.535394000,87.300529833,84.30,0.009,0.050
1764073672174478277,2025-11-25 17:57:52.172,23.535393000,87.300519500,84.20,0.009,0.050
1764073673153647980,2025-11-25 17:57:53.151,23.535391833,87.300509167,84.20,0.009,0.050
1764073674174778498,2025-11-25 17:57:54.172,23.535390667,87.300498667,84.20,0.009,0.050
1764073675152718701,2025-11-25 17:57:55.151,23.535389167,87.300488167,84.20,0.009,0.050
1764073676154325404,2025-11-25 17:57:56.152,23.535387833,87.300477833,84.20,0.009,0.050
1764073677174903607,2025-11-25 17:57:57.173,23.535386333,87.300467333,84.10,0.009,0.050
1764073678174105403,2025-11-25 17:57:58.171,23.535385333,87.300457000,84.10,0.009,0.050
1764073679155429810,2025-11-25 17:57:59.153,23.535384500,87.300446667,84.10,0.009,0.050
1764073680174891920,2025-11-25 17:58:00.172,23.535384000,87.300436167,84.10,0.009,0.050
1764073681153450512,2025-11-25 17:58:01.152,23.535384000,87.300425833,84.10,0.009,0.050
1764073682174743604,2025-11-25 17:58:02.172,23.535384333,87.300415500,84.10,0.009,0.050
1764073683154028900,2025-11-25 17:58:03.152,23.535384500,87.300405333,84.10,0.009,0.050
